Timestamp,Condition
10-04-2022 19:13:43,Yawn
10-04-2022 19:28:14,Yawn
10-04-2022 19:30:35,Sleep
10-04-2022 19:30:41,Sleep
10-04-2022 19:30:46,Sleep
10-04-2022 19:32:01,Sleep
10-04-2022 19:32:23,Sleep
10-04-2022 19:32:31,Sleep
10-04-2022 19:32:39,Sleep
10-04-2022 19:32:42,Yawn
10-04-2022 19:33:03,Yawn
10-04-2022 19:33:12,Sleep
10-04-2022 19:33:16,Yawn
10-04-2022 19:33:20,Sleep
10-04-2022 19:33:29,Yawn
10-04-2022 19:33:36,Sleep
16-04-2022 22:25:47,Sleep
16-04-2022 22:25:51,Sleep
16-04-2022 22:26:00,Yawn
16-04-2022 22:26:09,Sleep
16-04-2022 22:26:13,Sleep
